alpha,lr,pos_weight,ratio,run_name,best_f1,best_threshold
0.1,8e-06,1.2,2.0,run_001,0.5684210526310922,0.7083874344825745
0.1,8e-06,1.5,2.5,run_001,0.5574712643673199,0.6719330549240112
0.1,8e-06,1.5,3.0,run_002,0.572222222221729,0.7344845533370972
0.1,8e-06,1.5,3.5,run_003,0.5844504021442829,0.5764604210853577
0.1,8e-06,2.0,2.5,run_004,0.5558583106262118,0.5287192463874817
0.1,8e-06,2.0,3.0,run_005,0.5662337662332813,0.7459070682525635
0.1,8e-06,2.0,3.5,run_006,0.5833333333328481,0.6251987218856812
0.1,8e-06,2.5,2.5,run_007,0.5176470588230611,0.3852972686290741
0.1,8e-06,2.5,3.0,run_008,0.5661375661370787,0.7883366346359253
0.1,8e-06,2.5,3.5,run_009,0.5917808219173164,0.6957027316093445
0.1,1e-05,1.5,2.5,run_010,0.5785123966937223,0.4568100571632385
0.1,1e-05,1.5,3.0,run_011,0.5838150289012373,0.8342835903167725
0.1,1e-05,1.5,3.5,run_012,0.5930232558134563,0.6829494833946228
0.1,1e-05,2.0,2.5,run_013,0.5563909774431296,0.46986502408981323
0.1,1e-05,2.0,3.0,run_014,0.5769230769225848,0.767735481262207
0.1,1e-05,2.0,3.5,run_015,0.597701149424791,0.8212540745735168
0.1,1e-05,2.5,2.5,run_016,0.5645161290317686,0.6464599370956421
0.1,1e-05,2.5,3.0,run_017,0.5758513931883545,0.8504778146743774
0.1,1e-05,2.5,3.5,run_018,0.5994065281894125,0.7724194526672363
0.1,2e-05,1.5,2.5,run_019,0.5552560646895371,0.7923135161399841
0.1,2e-05,1.5,3.0,run_020,0.609686609686114,0.9147738814353943
0.1,2e-05,1.5,3.5,run_021,0.5958549222793083,0.2142091542482376
0.1,2e-05,2.0,2.5,run_022,0.5935483870962746,0.9014184474945068
0.1,2e-05,2.0,3.0,run_023,0.5863874345544877,0.5412184000015259
0.1,2e-05,2.0,3.5,run_024,0.608695652173416,0.9179273843765259
0.1,2e-05,2.5,2.5,run_025,0.5714285714280728,0.9843741059303284
0.1,2e-05,2.5,3.0,run_026,0.6069364161844742,0.9399740099906921
0.1,2e-05,2.5,3.5,run_027,0.6140845070417589,0.7487941980361938
0.15,8e-06,1.5,2.5,run_028,0.5705705705700715,0.6620158553123474
0.15,8e-06,1.5,3.0,run_029,0.5822102425871112,0.6364799737930298
0.15,8e-06,1.5,3.5,run_030,0.5728395061723626,0.3901691436767578
0.15,8e-06,2.0,2.5,run_031,0.5300546448082518,0.6211702823638916
0.15,8e-06,2.0,3.0,run_032,0.5774278215218233,0.6063729524612427
0.15,8e-06,2.0,3.5,run_033,0.5756823821335172,0.5265365242958069
0.15,8e-06,2.5,2.5,run_034,0.5289256198342184,0.5443341135978699
0.15,8e-06,2.5,3.0,run_035,0.5698005698000742,0.8348522782325745
0.15,8e-06,2.5,3.5,run_036,0.5810055865916851,0.6931359171867371
0.15,1e-05,1.5,2.5,run_037,0.5798045602600868,0.7760805487632751
0.15,1e-05,1.5,3.0,run_038,0.5875370919876322,0.8186360001564026
0.15,1e-05,1.5,3.5,run_039,0.6005361930290014,0.76018226146698
0.15,1e-05,2.0,2.5,run_040,0.5688622754486028,0.6707761287689209
0.15,1e-05,2.0,3.0,run_041,0.5889570552142241,0.8679082989692688
0.15,1e-05,2.0,3.5,run_042,0.5896805896801135,0.6379948854446411
0.15,1e-05,2.5,2.5,run_043,0.5508021390369444,0.6164144277572632
0.15,1e-05,2.5,3.0,run_044,0.572890025574965,0.8108034133911133
0.15,1e-05,2.5,3.5,run_045,0.594164456232934,0.7975054979324341
0.15,2e-05,1.5,2.5,run_046,0.5674157303365842,0.7786914110183716
0.15,2e-05,1.5,3.0,run_047,0.587257617728039,0.8055528998374939
0.15,2e-05,1.5,3.5,run_048,0.6030927835046709,0.11332017183303833
0.15,2e-05,2.0,2.5,run_049,0.58333333333284,0.9442768692970276
0.15,2e-05,2.0,3.0,run_050,0.5945945945940956,0.9591630697250366
0.15,2e-05,2.0,3.5,run_051,0.5876010781666261,0.7773680090904236
0.15,2e-05,2.5,2.5,run_052,0.5837837837832937,0.6722356677055359
0.15,2e-05,2.5,3.0,run_053,0.5982905982901027,0.9005487561225891
0.15,2e-05,2.5,3.5,run_054,0.6162790697669447,0.9442769289016724
0.2,8e-06,1.5,2.5,run_055,0.5590778097977743,0.7275799512863159
